method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance
nsga2,2.000493674,1.809307991,2.022572485,2.079942895,2.001043127,2.096004108,0.1894795002,0.5880977083,0.4333757034,-0.1694089537,-0.306519561,-1.377683647,0.8105655318,0.5503485846,0.5598822265,0.4618035322,0.3986247535,0.8203787748,100.1137374,64.4626257,105.334948,120.210636,100.2404776,124.7395313,1.546961482,3.873447806,2.712537203,0.6770037064,0.4937196802,0.04190987383,0.8105655318,0.5503485846,0.5598822265,0.4618035322,0.3986247535,0.8203787748,0.0124163869,66187.15877,1018.777196,-25.09461519,-2.940836746,-0.2612793798,-0.2013796018,-0.00604887079
nsga2,2.057849659,1.999657874,1.842827969,2.029872916,2.108012901,1.541575663,0.389438997,1.043742283,0.4343466837,-0.1393365388,-0.5202714388,-1.377399981,0.7670146729,0.3795864418,0.6147618668,0.3746625333,0.2452618973,0.8731467673,114.248277,99.92125357,69.63506236,107.1205802,128.2368675,34.79971305,2.451540075,11.05967291,2.718608583,0.7255435091,0.3018064807,0.04193725682,0.7670146729,0.3795864418,0.6147618668,0.3746625333,0.2452618973,0.8731467673,0.007206187957,66207.97476,3701.014295,-24.56397938,-2.938203504,-0.2453652597,-0.6031715206,-0.01386507743
nsga2,2.094935625,1.739462345,1.998834011,2.030638696,2.086276003,1.571495109,0.189349042,0.6456250623,0.4376998444,-0.1686264437,-0.521076041,-1.376655211,0.09061787143,0.5560619558,0.7849239554,0.4530881901,0.398156916,0.9541665329,124.4330152,54.88609648,99.73188115,107.3096296,121.9764538,37.28164863,1.546496858,4.422064392,2.739680032,0.6782246284,0.3012478521,0.04200923654,0.09061787143,0.5560619558,0.7849239554,0.4530881901,0.398156916,0.9541665329,0.01441101451,66183.70902,762.263254,-25.16145866,-2.938314841,-0.4045467046,-0.04685706157,-0.007269792808
nsga2,2.067510254,1.744955818,2.037964701,2.035290253,2.08618079,2.019501114,0.822303167,0.5868492457,0.352110567,-0.1687139335,-0.5223049169,-1.376446522,0.1099276467,0.4089102919,0.5475704366,0.4639752076,0.3488560544,0.8818491968,116.8181311,55.58477058,109.1351628,108.465158,121.9497151,104.5926373,6.642065698,3.862328829,2.249627265,0.678088012,0.3003966486,0.04202942786,0.1099276467,0.4089102919,0.5475704366,0.4639752076,0.3488560544,0.8818491968,0.01154542875,66190.90038,927.4002685,-25.18226134,-2.937956529,-0.2308854259,-0.2676691611,-0.007133176379
nsga2,2.034732421,1.979893617,2.024800857,2.035283361,2.116531578,2.101713148,0.1852942269,0.647723837,0.4308277493,-0.02199253552,-0.3139582572,-1.377382736,0.1896431742,0.5503485846,0.576199861,0.4546743022,0.3983128274,0.8824203948,108.3259286,95.47586833,105.8768121,108.4634366,130.7770624,126.3901263,1.532125098,4.443486213,2.696669662,0.9506211324,0.4853351465,0.04193892206,0.1896431742,0.5503485846,0.576199861,0.4546743022,0.3983128274,0.8824203948,0.009186744922,66196.44958,1978.483547,-24.91762437,-2.943044559,-0.2644709424,-0.4483175811,-0.01386674266
nsga2,2.066718932,1.804077287,2.170892338,2.035202536,2.116473969,2.101392266,0.5768606682,0.6477012152,0.3403459899,-0.1226563249,-0.5226389857,-1.377408186,0.6948774012,0.4508656328,0.5747942303,0.4992277185,0.2657634509,0.8822485907,116.6054722,63.69088558,148.2150612,108.4432527,130.759716,126.2967765,3.774510764,4.443254764,2.189505245,0.7539519609,0.3001656658,0.04193646453,0.6948774012,0.4508656328,0.5747942303,0.4992277185,0.2657634509,0.8822485907,0.01050219539,66192.98178,2107.586479,-25.19432688,-2.937138562,-0.2830086363,-0.3469012582,-0.01386428513
nsga2,2.051358401,1.812293599,2.021099782,2.030004591,2.087761408,1.529392843,0.210048041,0.647723837,0.2993578494,-0.02819240511,-0.306519561,-1.377338248,0.1282649072,0.1025630004,0.561284006,0.4546743022,0.3904762133,0.882089573,112.5533436,64.90730824,104.9783596,107.1530633,122.3943607,33.83707729,1.62198951,4.443486213,1.992314287,0.9371467316,0.4937196802,0.0419432184,0.1282649072,0.1025630004,0.561284006,0.4546743022,0.3904762133,0.882089573,0.006987158781,66208.94001,1863.300127,-24.99411203,-2.94304091,-0.2072071862,-0.6144653879,-0.01387103901
nsga2,1.99287971,1.999657874,1.859784054,2.030207588,2.108012901,1.585401809,0.4349411601,0.6511869709,0.3900251177,-0.1267262465,-0.5202720991,-1.377399981,0.08764609797,0.1132225083,0.7168468299,0.3746625333,0.2441446439,0.8736624565,98.37385943,99.92125357,72.40758353,107.2031601,128.2368675,38.49477707,2.722332451,4.479060936,2.454850889,0.7469194237,0.3018060219,0.04193725682,0.08764609797,0.1132225083,0.7168468299,0.3746625333,0.2441446439,0.8736624565,0.006578255678,66214.40232,4317.158486,-24.40053436,-2.909205513,-0.2419567509,-0.6495977209,-0.01386507743
nsga2,2.051358401,1.812293599,2.021099782,2.035269189,2.087761408,1.529392843,0.210048041,0.647723837,0.2993578494,-0.02199253552,-0.306519561,-1.376397998,0.1282649072,0.5337738079,0.561284006,0.4546743022,0.3983128274,0.8818992085,112.5533436,64.90730824,104.9783596,108.4598974,122.3943607,33.83707729,1.62198951,4.443486213,1.992314287,0.9506211324,0.4937196802,0.04203412412,0.1282649072,0.5337738079,0.561284006,0.4546743022,0.3983128274,0.8818992085,0.01164033868,66189.15026,1625.870409,-24.90641627,-2.943042805,-0.2578800652,-0.2583530359,-0.01396194472
nsga2,2.051549861,1.77420049,1.998923214,1.992809115,2.087708322,2.021382454,0.1902497881,0.6453295597,0.4315130307,-0.1717513973,-0.536945622,-1.376216201,0.1653913462,0.5313558474,0.561867875,0.3731370258,0.3583309141,0.8813301743,112.6029739,59.45665744,99.75236786,98.35786997,122.3794008,105.0467097,1.54970769,4.419056555,2.700928147,0.6733619979,0.290438629,0.04205172338,0.1653913462,0.5313558474,0.561867875,0.3731370258,0.3583309141,0.8813301743,0.01293944048,66186.87248,1254.233597,-25.00148465,-2.943042763,-0.3755993148,-0.1599767626,-0.00240716227
