method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.53814662,1.754947775,1.958284304,2.124558749,2.033848812,2.373416261,1.141551319,1.230130392,1.167886542,0.2689183858,-0.01552256126,-1.312282504,0.9836062847,34.52602813,56.87845286,90.84150143,133.2167238,108.1057544,236.2741778,13.85323874,16.98753608,14.71927917,1.857455363,0.9648891853,0.04872114614,0.9836062847,0.01414861756,66183.15106,3673.37156,-25.07949967,-1.631117605,-0.1473413515,-0.06490221841
nsga2,1.643538073,2.053171343,1.767044876,1.974422306,2.263599609,2.179445318,0.6439869526,1.216199362,1.14614707,0.4339349291,-0.1349168165,-1.365921159,0.9001326095,44.00865269,113.0241742,58.48505144,94.28059321,183.4845954,151.1629358,4.405416283,16.45126743,14.00061362,2.716032292,0.7329649097,0.04306047742,0.9001326095,0.008663646248,66201.35981,3640.14504,-24.73975277,-2.943048017,-0.3743893588,-0.4909261814
nsga2,1.566142966,1.716198767,2.088236322,1.969664166,2.193299746,2.186928095,1.43705922,1.466114317,0.4500432307,0.264393981,-0.1417339914,-1.385303528,0.6901923199,36.82501784,52.0234042,122.5282757,93.25329064,156.0629263,153.7899993,27.35641731,29.24922189,2.818663494,1.838205161,0.7215492982,0.04118096056,0.6901923199,0.009218261021,66197.51287,3092.437388,-25.08264145,-2.943040274,-0.2798548407,-0.4451111724
nsga2,1.561788264,2.062449535,1.829770541,1.984691303,2.227710644,2.04410132,1.00058369,1.471367839,1.146109345,0.4339349291,-0.01669840554,-1.346387219,0.9992975054,36.4576158,115.4647806,67.57258627,96.53644525,168.9315024,110.6881986,10.013449,29.60518909,13.9993975,2.716032292,0.962280299,0.04504149332,0.9992975054,0.00789548639,66203.23301,2319.947304,-25.02338762,-2.943045919,-0.3715009099,-0.5487494356
nsga2,2.26966751,1.770704465,1.756158555,1.839051605,2.247186073,2.079667983,0.64206067,1.21301229,1.013819887,0.3427473532,-0.1520617894,-1.430847127,0.892501082,186.0662092,58.97995888,57.03724693,69.03218264,176.6794642,120.1345658,4.385919639,16.33098164,10.32333182,2.201645304,0.7045928157,0.03708112258,0.892501082,0.01296416358,66186.90294,852.1541756,-25.28187669,-2.935771616,-0.4240139155,-0.1606601602
nsga2,1.531691888,1.77008468,1.948420039,1.988864114,2.228987151,2.125114937,0.6652226036,1.347840819,1.181274857,0.4134975208,-0.02435715196,-1.484992669,0.9939033785,34.01667717,58.89584814,88.80144627,97.4684622,169.4287674,133.3874399,4.626180819,22.27618518,15.18010784,2.591179629,0.9454593216,0.03273462204,0.9939033785,0.01188947201,66187.81564,1873.942311,-25.07426353,-2.943043899,-0.3757969744,-0.2390415915
nsga2,1.642260456,1.744710781,2.082823931,1.962744922,2.195770245,2.190456559,1.127032063,1.471588692,0.4405876121,0.2687166893,-0.1431055586,-1.936160155,0.6591742642,43.87937732,55.5534175,121.0107439,91.77933835,156.9532256,155.0445692,13.39775597,29.62024808,2.757957771,1.856592917,0.7192741316,0.01158350112,0.6591742642,0.008597551495,66200.42004,4162.385044,-25.0060404,-2.94304074,-0.3175710329,-0.4926691044
nsga2,1.531691888,1.714933933,1.946154265,1.962738605,2.166514718,2.190643181,0.6749242138,1.347840819,0.9904481424,0.2656032119,-0.02435715196,-1.484992669,0.9939033785,34.01667717,51.87211222,88.33936338,91.77800329,146.728581,155.1112083,4.730686993,22.27618518,9.782461387,1.843330512,0.9454593216,0.03273462204,0.9939033785,0.01334836209,66184.87742,1033.276064,-25.2461073,-2.930219495,-0.3775287045,-0.1287079124
nsga2,1.561786075,2.053171343,1.776988447,1.974422306,2.262080494,2.179445318,0.9950656421,1.218554021,1.14614707,0.4339349291,-0.01669840554,-1.365921159,0.9992975054,36.45743204,113.0241742,59.83956759,94.28059321,182.8439077,151.1629358,9.887025224,16.54070517,14.00061362,2.716032292,0.962280299,0.04306047742,0.9992975054,0.008977949717,66199.0723,3020.037168,-25.0406265,-2.94304885,-0.3709019674,-0.4670493065
nsga2,2.26966751,1.770059068,1.944523126,1.979538802,2.2482445,2.065715908,1.152506891,1.215899154,1.278034191,0.3427473532,-0.1520741631,-1.372560825,0.892501082,186.0662092,58.89237495,88.0081975,95.39789712,177.110578,116.3364771,14.20714757,16.43989935,18.96855251,2.201645304,0.7045727411,0.04240715863,0.892501082,0.01250031835,66185.72981,1424.51246,-25.09697513,-2.943043864,-0.3771786927,-0.1922413299
nsga2,1.611540584,1.760734722,2.068980961,1.962906315,2.116791491,2.190440633,1.127203301,1.461489262,0.4769049397,0.2687166893,-0.1431055586,-1.493537932,0.987824165,40.88279541,57.6414268,117.214398,91.81345176,130.8553523,155.0388839,13.40303962,28.93938263,2.998506121,1.856592917,0.7192741316,0.03209682454,0.987824165,0.01206308111,66192.3529,1172.407461,-25.25946356,-2.929550869,-0.4623334551,-0.2293478444
